beta,delta,has_reversal,reversal_share
0.62,0.997,1,0.45
0.62,0.998,1,0.45
0.62,0.999,1,0.35
0.64,0.985,1,0.2
0.64,0.986,1,0.2
0.64,0.987,1,0.2
0.64,0.988,1,0.25
0.64,0.989,1,0.3
0.64,0.99,1,0.3
0.64,0.991,1,0.4
0.64,0.992,1,0.4
0.64,0.993,1,0.4
0.64,0.994,1,0.45
0.64,0.995,1,0.45
0.64,0.996,1,0.45
0.64,0.997,1,0.45
0.64,0.998,1,0.4
0.64,0.999,1,0.3
0.66,0.985,1,0.2
0.66,0.986,1,0.2
0.66,0.987,1,0.2
0.66,0.988,1,0.25
0.66,0.989,1,0.3
0.66,0.99,1,0.3
0.66,0.991,1,0.4
0.66,0.992,1,0.4
0.66,0.993,1,0.4
0.66,0.994,1,0.45
0.66,0.995,1,0.45
0.66,0.996,1,0.45
0.66,0.997,1,0.4
0.66,0.998,1,0.35
0.66,0.999,1,0.3
0.68,0.985,1,0.2
0.68,0.986,1,0.2
0.68,0.987,1,0.2
0.68,0.988,1,0.25
0.68,0.989,1,0.3
0.68,0.99,1,0.3
0.68,0.991,1,0.4
0.68,0.992,1,0.4
0.68,0.993,1,0.4
0.68,0.994,1,0.45
0.68,0.995,1,0.4
0.68,0.996,1,0.4
0.68,0.997,1,0.4
0.68,0.998,1,0.35
0.68,0.999,1,0.25
0.7,0.985,1,0.2
0.7,0.986,1,0.2
0.7,0.987,1,0.2
0.7,0.988,1,0.25
0.7,0.989,1,0.3
0.7,0.99,1,0.3
0.7,0.991,1,0.4
0.7,0.992,1,0.4
0.7,0.993,1,0.4
0.7,0.994,1,0.45
0.7,0.995,1,0.35
0.7,0.996,1,0.4
0.7,0.997,1,0.4
0.7,0.998,1,0.35
0.7,0.999,1,0.25
0.72,0.985,1,0.2
0.72,0.986,1,0.2
0.72,0.987,1,0.2
0.72,0.988,1,0.25
0.72,0.989,1,0.3
0.72,0.99,1,0.3
0.72,0.991,1,0.4
0.72,0.992,1,0.4
0.72,0.993,1,0.4
0.72,0.994,1,0.35
0.72,0.995,1,0.35
0.72,0.996,1,0.4
0.72,0.997,1,0.35
0.72,0.998,1,0.25
0.72,0.999,1,0.15
0.74,0.985,1,0.2
0.74,0.986,1,0.2
0.74,0.987,1,0.2
0.74,0.988,1,0.25
0.74,0.989,1,0.3
0.74,0.99,1,0.3
0.74,0.991,1,0.4
0.74,0.992,1,0.4
0.74,0.993,1,0.4
0.74,0.994,1,0.35
0.74,0.995,1,0.35
0.74,0.996,1,0.4
0.74,0.997,1,0.25
0.74,0.998,1,0.1
0.74,0.999,1,0.1
0.76,0.985,1,0.2
0.76,0.986,1,0.2
0.76,0.987,1,0.2
0.76,0.988,1,0.25
0.76,0.989,1,0.3
0.76,0.99,1,0.3
0.76,0.991,1,0.4
0.76,0.992,1,0.4
0.76,0.993,1,0.35
0.76,0.994,1,0.35
0.76,0.995,1,0.3
0.76,0.996,1,0.3
0.76,0.997,1,0.15
0.76,0.998,1,0.05
0.76,0.999,1,0.05
0.78,0.985,1,0.2
0.78,0.986,1,0.2
0.78,0.987,1,0.2
0.78,0.988,1,0.25
0.78,0.989,1,0.3
0.78,0.99,1,0.3
0.78,0.991,1,0.4
0.78,0.992,1,0.35
0.78,0.993,1,0.25
0.78,0.994,1,0.25
0.78,0.995,1,0.25
0.78,0.996,1,0.15
0.78,0.997,1,0.1
0.78,0.998,1,0.05
0.78,0.999,0,0.0
0.8,0.985,1,0.2
0.8,0.986,1,0.2
0.8,0.987,1,0.2
0.8,0.988,1,0.25
0.8,0.989,1,0.3
0.8,0.99,1,0.3
0.8,0.991,1,0.35
0.8,0.992,1,0.25
0.8,0.993,1,0.2
0.8,0.994,1,0.25
0.8,0.995,1,0.2
0.8,0.996,1,0.1
0.8,0.997,1,0.05
0.8,0.998,0,0.0
0.8,0.999,0,0.0
0.8200000000000001,0.985,1,0.2
0.8200000000000001,0.986,1,0.2
0.8200000000000001,0.987,1,0.2
0.8200000000000001,0.988,1,0.25
0.8200000000000001,0.989,1,0.3
0.8200000000000001,0.99,1,0.2
0.8200000000000001,0.991,1,0.25
0.8200000000000001,0.992,1,0.2
0.8200000000000001,0.993,1,0.2
0.8200000000000001,0.994,1,0.25
0.8200000000000001,0.995,1,0.1
0.8200000000000001,0.996,1,0.1
0.8200000000000001,0.997,1,0.05
0.8200000000000001,0.998,0,0.0
0.8200000000000001,0.999,0,0.0
0.8400000000000001,0.985,1,0.2
0.8400000000000001,0.986,1,0.2
0.8400000000000001,0.987,1,0.2
0.8400000000000001,0.988,1,0.2
0.8400000000000001,0.989,1,0.15
0.8400000000000001,0.99,1,0.15
0.8400000000000001,0.991,1,0.25
0.8400000000000001,0.992,1,0.2
0.8400000000000001,0.993,1,0.2
0.8400000000000001,0.994,1,0.15
0.8400000000000001,0.995,1,0.1
0.8400000000000001,0.996,1,0.1
0.8400000000000001,0.997,0,0.0
0.8400000000000001,0.998,0,0.0
0.8400000000000001,0.999,0,0.0
0.8600000000000001,0.985,1,0.2
0.8600000000000001,0.986,1,0.15
0.8600000000000001,0.987,1,0.1
0.8600000000000001,0.988,1,0.15
0.8600000000000001,0.989,1,0.15
0.8600000000000001,0.99,1,0.15
0.8600000000000001,0.991,1,0.25
0.8600000000000001,0.992,1,0.2
0.8600000000000001,0.993,1,0.1
0.8600000000000001,0.994,1,0.1
0.8600000000000001,0.995,1,0.05
0.8600000000000001,0.996,1,0.05
0.8600000000000001,0.997,0,0.0
0.8600000000000001,0.998,0,0.0
0.8600000000000001,0.999,0,0.0
0.88,0.985,1,0.15
0.88,0.986,1,0.1
0.88,0.987,1,0.1
0.88,0.988,1,0.1
0.88,0.989,1,0.15
0.88,0.99,1,0.15
0.88,0.991,1,0.15
0.88,0.992,1,0.1
0.88,0.993,1,0.1
0.88,0.994,1,0.1
0.88,0.995,0,0.0
0.88,0.996,1,0.05
0.88,0.997,0,0.0
0.88,0.998,0,0.0
0.88,0.999,0,0.0
0.9,0.985,1,0.1
0.9,0.986,1,0.1
0.9,0.987,1,0.05
0.9,0.988,1,0.1
0.9,0.989,1,0.15
0.9,0.99,1,0.1
0.9,0.991,1,0.15
0.9,0.992,1,0.1
0.9,0.993,1,0.05
0.9,0.994,1,0.05
0.9,0.995,0,0.0
0.9,0.996,0,0.0
0.9,0.997,0,0.0
0.9,0.998,0,0.0
0.9,0.999,0,0.0
0.92,0.985,1,0.1
0.92,0.986,1,0.05
0.92,0.987,1,0.05
0.92,0.988,1,0.1
0.92,0.989,1,0.1
0.92,0.99,1,0.05
0.92,0.991,1,0.1
0.92,0.992,1,0.1
0.92,0.993,1,0.05
0.92,0.994,1,0.05
0.92,0.995,0,0.0
0.92,0.996,0,0.0
0.92,0.997,0,0.0
0.92,0.998,0,0.0
0.92,0.999,0,0.0
0.9400000000000001,0.985,1,0.1
0.9400000000000001,0.986,1,0.05
0.9400000000000001,0.987,1,0.05
0.9400000000000001,0.988,1,0.05
0.9400000000000001,0.989,1,0.1
0.9400000000000001,0.99,0,0.0
0.9400000000000001,0.991,1,0.1
0.9400000000000001,0.992,1,0.05
0.9400000000000001,0.993,0,0.0
0.9400000000000001,0.994,0,0.0
0.9400000000000001,0.995,0,0.0
0.9400000000000001,0.996,0,0.0
